176,222,DUBBELZIJDIG,Binnenvaartstraat (2000),null,2000,1
177,223,DUBBELZIJDIG,Rijnkaai (2000),15,2000,1
178,224,DUBBELZIJDIG,Indiëstraat (2000),3,2030,1
179,225,DUBBELZIJDIG,Verbindingsdok-Oostkaai (2000),9,2000,1
180,226,DUBBELZIJDIG,Noordschippersdok (2060),null,2060,1
181,227,ENKELZIJDIG,Van Cortbeemdelei (2100),103-105,2100,4
182,228,ENKELZIJDIG,Van Deynsestraat (2100),120,2100,4
183,229,DUBBELZIJDIG,Jozef Nellenslei (2100),26,2100,4
184,230,DUBBELZIJDIG,Bosuil (2100),80,2100,4
185,231,DUBBELZIJDIG,Gallifortlei (2100),278,2100,4
186,232,DUBBELZIJDIG,Wim Saerensplein (2100),25,2100,4
187,233,DUBBELZIJDIG,Gallifortlei (2100),198,2100,4
188,234,ENKELZIJDIG,Jan Brochovenstraat (2100),28,2100,4
189,235,DUBBELZIJDIG,Cogelsplein (2100),19-21,2100,4
190,236,DUBBELZIJDIG,Maurice Dequeeckerplein (2100),3,2100,4
191,237,DUBBELZIJDIG,Ter Rivierenlaan (2100),18,2100,4
192,238,ENKELZIJDIG,Ertbruggelaan (2100),2,2100,4
193,239,ENKELZIJDIG,Ruggeveldlaan (2100),549,2100,4
194,240,DUBBELZIJDIG,Ruggeveldlaan (2100),488,2100,4
195,241,DUBBELZIJDIG,Collegelaan (2140),42-44,2140,3
196,242,DUBBELZIJDIG,Luitenant Lippenslaan (2140),2,2140,3
197,243,DUBBELZIJDIG,Herentalsebaan (2100),133,2100,4
198,244,DUBBELZIJDIG,Herentalsebaan (2100),299,2100,4
199,245,ENKELZIJDIG,Florent Pauwelslei (2100),1,2100,4
200,246,DUBBELZIJDIG,Arenaplein (2100),1,2100,4
201,247,ENKELZIJDIG,Luitenant Lippenslaan (2140),55-59,2140,3
202,248,DUBBELZIJDIG,Berchemlei (2140),67,2140,3
203,249,DUBBELZIJDIG,Frans De Vriendtstraat (2140),61,2140,3
204,250,DUBBELZIJDIG,Diksmuidelaan (2600),8,2600,2
205,251,DUBBELZIJDIG,Arthur Matthyslaan (2140),76,2140,3
